,id,round_number,owner,name,timestamp,body,balance,tick_number,n_transactions,participant_code,session_code,treatment,player.intermediary_payoff
0,149,1,Player object (723),GAME_STARTS,2023-02-22 21:51:11.668830+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,mi0088eg,vmu7c279,FULL STUDY,185.0
1,150,1,Player object (723),sell,2023-02-22 21:51:50.977252+00:00,"{""priceA"": 135, ""sharesA"": 0, ""secs_since_round_starts"": 39, ""market"": ""A""}",185.0,7.0,1.0,mi0088eg,vmu7c279,FULL STUDY,185.0
2,202,1,Player object (730),GAME_STARTS,2023-02-25 00:09:42.859798+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,7jonfg2l,vmu7c279,FULL STUDY,175.0
3,203,1,Player object (730),sell,2023-02-25 00:10:05.641199+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 23, ""market"": ""A""}",165.0,4.0,1.0,7jonfg2l,vmu7c279,FULL STUDY,175.0
4,204,1,Player object (730),buy,2023-02-25 00:10:16.248101+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 33, ""market"": ""A""}",45.0,6.0,2.0,7jonfg2l,vmu7c279,FULL STUDY,175.0
5,205,1,Player object (730),sell,2023-02-25 00:10:32.584402+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 50, ""market"": ""A""}",175.0,9.0,3.0,7jonfg2l,vmu7c279,FULL STUDY,175.0
6,341,1,Player object (731),GAME_STARTS,2023-02-25 02:28:58.092457+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,5c7udvpd,vmu7c279,FULL STUDY,180.0
7,400,1,Player object (734),GAME_STARTS,2023-02-26 00:17:08.717958+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,nlp1gb1k,vmu7c279,FULL STUDY,160.0
8,401,1,Player object (734),sell,2023-02-26 00:17:25.635276+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 17, ""market"": ""A""}",170.0,3.0,1.0,nlp1gb1k,vmu7c279,FULL STUDY,160.0
9,402,1,Player object (734),buy,2023-02-26 00:17:31.824235+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 23, ""market"": ""A""}",55.0,4.0,2.0,nlp1gb1k,vmu7c279,FULL STUDY,160.0
10,403,1,Player object (734),sell,2023-02-26 00:17:36.090995+00:00,"{""priceA"": 105, ""sharesA"": 0, ""secs_since_round_starts"": 28, ""market"": ""A""}",160.0,5.0,3.0,nlp1gb1k,vmu7c279,FULL STUDY,160.0
11,404,1,Player object (734),buy,2023-02-26 00:18:01.320202+00:00,"{""priceA"": 130, ""sharesA"": 1, ""secs_since_round_starts"": 53, ""market"": ""A""}",30.0,9.0,4.0,nlp1gb1k,vmu7c279,FULL STUDY,160.0
12,405,1,Player object (734),GAME_ENDS,2023-02-26 00:18:02.446995+00:00,"{""priceA"": 130, ""sharesA"": 1, ""secs_since_round_starts"": 54}",30.0,10.0,4.0,nlp1gb1k,vmu7c279,FULL STUDY,160.0
13,515,1,Player object (735),GAME_STARTS,2023-02-26 19:10:49.656860+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,gcs54w3b,vmu7c279,FULL STUDY,185.0
14,516,1,Player object (735),sell,2023-02-26 19:11:06.173904+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 17, ""market"": ""A""}",170.0,3.0,1.0,gcs54w3b,vmu7c279,FULL STUDY,185.0
15,517,1,Player object (735),buy,2023-02-26 19:11:17.250179+00:00,"{""priceA"": 105, ""sharesA"": 1, ""secs_since_round_starts"": 28, ""market"": ""A""}",65.0,5.0,2.0,gcs54w3b,vmu7c279,FULL STUDY,185.0
16,518,1,Player object (735),sell,2023-02-26 19:11:23.071989+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 33, ""market"": ""A""}",185.0,6.0,3.0,gcs54w3b,vmu7c279,FULL STUDY,185.0
17,568,1,Player object (740),GAME_STARTS,2023-03-01 22:59:20.758103+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 1}",50.0,,,hre8fq8i,vmu7c279,FULL STUDY,190.0
18,569,1,Player object (740),sell,2023-03-01 23:00:07.013845+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 47, ""market"": ""A""}",190.0,8.0,1.0,hre8fq8i,vmu7c279,FULL STUDY,190.0
19,681,1,Player object (741),GAME_STARTS,2023-03-03 23:05:48.188830+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 1}",50.0,,,pb727kvg,vmu7c279,FULL STUDY,170.0
20,682,1,Player object (741),sell,2023-03-03 23:06:21.044992+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 33, ""market"": ""A""}",170.0,6.0,1.0,pb727kvg,vmu7c279,FULL STUDY,170.0
21,683,1,Player object (741),GAME_ENDS,2023-03-03 23:06:41.683954+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",170.0,10.0,1.0,pb727kvg,vmu7c279,FULL STUDY,170.0
22,816,1,Player object (743),GAME_STARTS,2023-03-04 17:27:14.078808+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,pgdv91vz,vmu7c279,FULL STUDY,170.0
23,817,1,Player object (743),sell,2023-03-04 17:27:48.419231+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 34, ""market"": ""A""}",170.0,6.0,1.0,pgdv91vz,vmu7c279,FULL STUDY,170.0
24,818,1,Player object (743),GAME_ENDS,2023-03-04 17:28:08.660542+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",170.0,10.0,1.0,pgdv91vz,vmu7c279,FULL STUDY,170.0
25,926,1,Player object (747),GAME_STARTS,2023-03-04 19:49:07.549132+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,3cbm3sys,vmu7c279,FULL STUDY,175.0
26,927,1,Player object (748),GAME_STARTS,2023-03-04 19:49:16.654317+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,galec1ga,vmu7c279,FULL STUDY,165.0
27,928,1,Player object (747),sell,2023-03-04 19:49:28.445194+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 20, ""market"": ""A""}",170.0,3.0,1.0,3cbm3sys,vmu7c279,FULL STUDY,175.0
28,929,1,Player object (747),buy,2023-03-04 19:49:32.713494+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 25, ""market"": ""A""}",55.0,4.0,2.0,3cbm3sys,vmu7c279,FULL STUDY,175.0
29,930,1,Player object (748),sell,2023-03-04 19:49:39.681049+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 23, ""market"": ""A""}",165.0,4.0,1.0,galec1ga,vmu7c279,FULL STUDY,165.0
30,931,1,Player object (747),sell,2023-03-04 19:49:43.485737+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 36, ""market"": ""A""}",175.0,6.0,3.0,3cbm3sys,vmu7c279,FULL STUDY,175.0
31,932,1,Player object (747),GAME_ENDS,2023-03-04 19:50:02.050889+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",175.0,10.0,3.0,3cbm3sys,vmu7c279,FULL STUDY,175.0
32,933,1,Player object (748),GAME_ENDS,2023-03-04 19:50:11.114966+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",165.0,10.0,1.0,galec1ga,vmu7c279,FULL STUDY,165.0
33,1071,1,Player object (750),GAME_STARTS,2023-03-04 23:15:54.112761+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,yt3h0how,vmu7c279,FULL STUDY,180.0
34,1072,1,Player object (750),sell,2023-03-04 23:16:22.468344+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 28, ""market"": ""A""}",180.0,5.0,1.0,yt3h0how,vmu7c279,FULL STUDY,180.0
35,1073,1,Player object (750),GAME_ENDS,2023-03-04 23:16:48.748211+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 54}",180.0,10.0,1.0,yt3h0how,vmu7c279,FULL STUDY,180.0
36,1112,1,Player object (752),GAME_STARTS,2023-03-05 01:40:39.409538+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,zzc584nm,vmu7c279,FULL STUDY,190.0
37,1113,1,Player object (752),sell,2023-03-05 01:41:24.283479+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 45, ""market"": ""A""}",190.0,8.0,1.0,zzc584nm,vmu7c279,FULL STUDY,190.0
38,1147,1,Player object (755),GAME_STARTS,2023-03-05 18:27:17.221809+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,q5w3ghvj,vmu7c279,FULL STUDY,190.0
39,1148,1,Player object (755),sell,2023-03-05 18:27:36.068647+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 18, ""market"": ""A""}",170.0,3.0,1.0,q5w3ghvj,vmu7c279,FULL STUDY,190.0
40,1149,1,Player object (755),buy,2023-03-05 18:27:51.491482+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 34, ""market"": ""A""}",50.0,6.0,2.0,q5w3ghvj,vmu7c279,FULL STUDY,190.0
41,1150,1,Player object (755),sell,2023-03-05 18:28:03.266047+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 46, ""market"": ""A""}",190.0,8.0,3.0,q5w3ghvj,vmu7c279,FULL STUDY,190.0
42,1151,1,Player object (755),GAME_ENDS,2023-03-05 18:28:11.800735+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",190.0,10.0,3.0,q5w3ghvj,vmu7c279,FULL STUDY,190.0
43,1236,1,Player object (756),GAME_STARTS,2023-03-05 22:04:13.836569+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,8vrmmtmo,vmu7c279,FULL STUDY,170.0
44,1237,1,Player object (756),sell,2023-03-05 22:04:18.564750+00:00,"{""priceA"": 100, ""sharesA"": 0, ""secs_since_round_starts"": 4, ""market"": ""A""}",150.0,,1.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
45,1238,1,Player object (756),buy,2023-03-05 22:04:19.807000+00:00,"{""priceA"": 105, ""sharesA"": 1, ""secs_since_round_starts"": 6, ""market"": ""A""}",45.0,1.0,2.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
46,1239,1,Player object (756),sell,2023-03-05 22:04:20.873454+00:00,"{""priceA"": 105, ""sharesA"": 0, ""secs_since_round_starts"": 7, ""market"": ""A""}",150.0,1.0,2.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
47,1240,1,Player object (756),buy,2023-03-05 22:04:22.613928+00:00,"{""priceA"": 105, ""sharesA"": 1, ""secs_since_round_starts"": 8, ""market"": ""A""}",45.0,1.0,2.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
48,1241,1,Player object (756),sell,2023-03-05 22:04:24.153284+00:00,"{""priceA"": 105, ""sharesA"": 0, ""secs_since_round_starts"": 10, ""market"": ""A""}",150.0,1.0,2.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
49,1242,1,Player object (756),buy,2023-03-05 22:04:25.978140+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 12, ""market"": ""A""}",30.0,2.0,3.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
50,1243,1,Player object (756),sell,2023-03-05 22:04:27.279064+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 13, ""market"": ""A""}",150.0,2.0,3.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
51,1244,1,Player object (756),buy,2023-03-05 22:04:28.805685+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 15, ""market"": ""A""}",30.0,2.0,3.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
52,1245,1,Player object (756),sell,2023-03-05 22:04:29.948225+00:00,"{""priceA"": 125, ""sharesA"": 0, ""secs_since_round_starts"": 16, ""market"": ""A""}",155.0,3.0,4.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
53,1246,1,Player object (756),buy,2023-03-05 22:04:33.038324+00:00,"{""priceA"": 125, ""sharesA"": 1, ""secs_since_round_starts"": 19, ""market"": ""A""}",30.0,3.0,4.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
54,1247,1,Player object (756),sell,2023-03-05 22:04:34.588481+00:00,"{""priceA"": 125, ""sharesA"": 0, ""secs_since_round_starts"": 20, ""market"": ""A""}",155.0,3.0,4.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
55,1248,1,Player object (756),buy,2023-03-05 22:04:40.702763+00:00,"{""priceA"": 135, ""sharesA"": 1, ""secs_since_round_starts"": 26, ""market"": ""A""}",20.0,4.0,5.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
56,1249,1,Player object (756),sell,2023-03-05 22:05:00.924579+00:00,"{""priceA"": 150, ""sharesA"": 0, ""secs_since_round_starts"": 47, ""market"": ""A""}",170.0,8.0,6.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
57,1250,1,Player object (756),buy,2023-03-05 22:05:06.424089+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 52, ""market"": ""A""}",30.0,9.0,7.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
58,1251,1,Player object (756),GAME_ENDS,2023-03-05 22:05:08.404333+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 54}",30.0,10.0,7.0,8vrmmtmo,vmu7c279,FULL STUDY,170.0
59,1357,1,Player object (757),GAME_STARTS,2023-03-05 22:42:36.622618+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,ot80gep3,vmu7c279,FULL STUDY,165.0
60,1358,1,Player object (757),sell,2023-03-05 22:42:38.808001+00:00,"{""priceA"": 100, ""sharesA"": 0, ""secs_since_round_starts"": 2, ""market"": ""A""}",150.0,,1.0,ot80gep3,vmu7c279,FULL STUDY,165.0
61,1359,1,Player object (757),buy,2023-03-05 22:42:39.774474+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 3, ""market"": ""A""}",50.0,,1.0,ot80gep3,vmu7c279,FULL STUDY,165.0
62,1360,1,Player object (757),sell,2023-03-05 22:42:40.519320+00:00,"{""priceA"": 100, ""sharesA"": 0, ""secs_since_round_starts"": 3, ""market"": ""A""}",150.0,,1.0,ot80gep3,vmu7c279,FULL STUDY,165.0
63,1361,1,Player object (757),buy,2023-03-05 22:42:41.311067+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 4, ""market"": ""A""}",50.0,,1.0,ot80gep3,vmu7c279,FULL STUDY,165.0
64,1362,1,Player object (757),sell,2023-03-05 22:42:42.061866+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 5, ""market"": ""A""}",160.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
65,1363,1,Player object (757),buy,2023-03-05 22:42:42.774435+00:00,"{""priceA"": 110, ""sharesA"": 1, ""secs_since_round_starts"": 6, ""market"": ""A""}",50.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
66,1364,1,Player object (757),sell,2023-03-05 22:42:43.499321+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 6, ""market"": ""A""}",160.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
67,1365,1,Player object (757),buy,2023-03-05 22:42:44.170806+00:00,"{""priceA"": 110, ""sharesA"": 1, ""secs_since_round_starts"": 7, ""market"": ""A""}",50.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
68,1366,1,Player object (757),sell,2023-03-05 22:42:44.949471+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 8, ""market"": ""A""}",160.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
69,1367,1,Player object (757),buy,2023-03-05 22:42:45.581410+00:00,"{""priceA"": 110, ""sharesA"": 1, ""secs_since_round_starts"": 9, ""market"": ""A""}",50.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
70,1368,1,Player object (757),sell,2023-03-05 22:42:46.285483+00:00,"{""priceA"": 110, ""sharesA"": 0, ""secs_since_round_starts"": 9, ""market"": ""A""}",160.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
71,1369,1,Player object (757),buy,2023-03-05 22:42:46.926011+00:00,"{""priceA"": 110, ""sharesA"": 1, ""secs_since_round_starts"": 10, ""market"": ""A""}",50.0,1.0,2.0,ot80gep3,vmu7c279,FULL STUDY,165.0
72,1370,1,Player object (757),sell,2023-03-05 22:42:47.772140+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 11, ""market"": ""A""}",165.0,2.0,3.0,ot80gep3,vmu7c279,FULL STUDY,165.0
73,1371,1,Player object (757),buy,2023-03-05 22:42:48.411079+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 11, ""market"": ""A""}",50.0,2.0,3.0,ot80gep3,vmu7c279,FULL STUDY,165.0
74,1372,1,Player object (757),sell,2023-03-05 22:42:49.136495+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 12, ""market"": ""A""}",165.0,2.0,3.0,ot80gep3,vmu7c279,FULL STUDY,165.0
75,1373,1,Player object (757),buy,2023-03-05 22:42:49.757238+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 13, ""market"": ""A""}",50.0,2.0,3.0,ot80gep3,vmu7c279,FULL STUDY,165.0
76,1374,1,Player object (757),sell,2023-03-05 22:42:50.434495+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 13, ""market"": ""A""}",165.0,2.0,3.0,ot80gep3,vmu7c279,FULL STUDY,165.0
77,1375,1,Player object (757),buy,2023-03-05 22:42:51.678978+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 15, ""market"": ""A""}",50.0,2.0,3.0,ot80gep3,vmu7c279,FULL STUDY,165.0
78,1376,1,Player object (757),sell,2023-03-05 22:42:52.710855+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 16, ""market"": ""A""}",170.0,3.0,4.0,ot80gep3,vmu7c279,FULL STUDY,165.0
79,1377,1,Player object (757),buy,2023-03-05 22:42:53.801318+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 17, ""market"": ""A""}",50.0,3.0,4.0,ot80gep3,vmu7c279,FULL STUDY,165.0
80,1378,1,Player object (757),sell,2023-03-05 22:42:54.715150+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 18, ""market"": ""A""}",170.0,3.0,4.0,ot80gep3,vmu7c279,FULL STUDY,165.0
81,1379,1,Player object (757),buy,2023-03-05 22:42:55.891658+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 19, ""market"": ""A""}",50.0,3.0,4.0,ot80gep3,vmu7c279,FULL STUDY,165.0
82,1380,1,Player object (757),sell,2023-03-05 22:42:56.892857+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 20, ""market"": ""A""}",170.0,3.0,4.0,ot80gep3,vmu7c279,FULL STUDY,165.0
83,1381,1,Player object (757),buy,2023-03-05 22:42:57.861947+00:00,"{""priceA"": 120, ""sharesA"": 1, ""secs_since_round_starts"": 21, ""market"": ""A""}",50.0,3.0,4.0,ot80gep3,vmu7c279,FULL STUDY,165.0
84,1382,1,Player object (757),sell,2023-03-05 22:42:59.100067+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 22, ""market"": ""A""}",165.0,4.0,5.0,ot80gep3,vmu7c279,FULL STUDY,165.0
85,1383,1,Player object (757),buy,2023-03-05 22:43:00.217567+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 23, ""market"": ""A""}",50.0,4.0,5.0,ot80gep3,vmu7c279,FULL STUDY,165.0
86,1384,1,Player object (757),sell,2023-03-05 22:43:01.486290+00:00,"{""priceA"": 115, ""sharesA"": 0, ""secs_since_round_starts"": 24, ""market"": ""A""}",165.0,4.0,5.0,ot80gep3,vmu7c279,FULL STUDY,165.0
87,1385,1,Player object (757),buy,2023-03-05 22:43:02.286990+00:00,"{""priceA"": 115, ""sharesA"": 1, ""secs_since_round_starts"": 25, ""market"": ""A""}",50.0,4.0,5.0,ot80gep3,vmu7c279,FULL STUDY,165.0
88,1386,1,Player object (757),sell,2023-03-05 22:43:04.611954+00:00,"{""priceA"": 105, ""sharesA"": 0, ""secs_since_round_starts"": 28, ""market"": ""A""}",155.0,5.0,6.0,ot80gep3,vmu7c279,FULL STUDY,165.0
89,1387,1,Player object (757),buy,2023-03-05 22:43:07.139092+00:00,"{""priceA"": 105, ""sharesA"": 1, ""secs_since_round_starts"": 30, ""market"": ""A""}",50.0,5.0,6.0,ot80gep3,vmu7c279,FULL STUDY,165.0
90,1388,1,Player object (757),sell,2023-03-05 22:43:09.908857+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 33, ""market"": ""A""}",170.0,6.0,7.0,ot80gep3,vmu7c279,FULL STUDY,165.0
91,1389,1,Player object (757),buy,2023-03-05 22:43:15.829416+00:00,"{""priceA"": 135, ""sharesA"": 1, ""secs_since_round_starts"": 39, ""market"": ""A""}",35.0,7.0,8.0,ot80gep3,vmu7c279,FULL STUDY,165.0
92,1390,1,Player object (757),sell,2023-03-05 22:43:28.164696+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 51, ""market"": ""A""}",165.0,9.0,9.0,ot80gep3,vmu7c279,FULL STUDY,165.0
93,1391,1,Player object (757),GAME_ENDS,2023-03-05 22:43:31.168959+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",165.0,10.0,9.0,ot80gep3,vmu7c279,FULL STUDY,165.0
94,1477,1,Player object (758),GAME_STARTS,2023-03-06 01:45:40.983463+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,93y42seh,vmu7c279,FULL STUDY,190.0
95,1478,1,Player object (758),sell,2023-03-06 01:45:58.820814+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 18, ""market"": ""A""}",170.0,3.0,1.0,93y42seh,vmu7c279,FULL STUDY,190.0
96,1479,1,Player object (758),buy,2023-03-06 01:46:12.656329+00:00,"{""priceA"": 105, ""sharesA"": 1, ""secs_since_round_starts"": 32, ""market"": ""A""}",65.0,5.0,2.0,93y42seh,vmu7c279,FULL STUDY,190.0
97,1480,1,Player object (758),sell,2023-03-06 01:46:20.691377+00:00,"{""priceA"": 135, ""sharesA"": 0, ""secs_since_round_starts"": 39, ""market"": ""A""}",200.0,7.0,3.0,93y42seh,vmu7c279,FULL STUDY,190.0
98,1481,1,Player object (758),buy,2023-03-06 01:46:28.990743+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 48, ""market"": ""A""}",60.0,8.0,4.0,93y42seh,vmu7c279,FULL STUDY,190.0
99,1554,1,Player object (759),GAME_STARTS,2023-03-06 02:02:41.079383+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,mbj7g6v1,vmu7c279,FULL STUDY,190.0
100,1561,1,Player object (759),sell,2023-03-06 02:03:26.650374+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 45, ""market"": ""A""}",190.0,8.0,1.0,mbj7g6v1,vmu7c279,FULL STUDY,190.0
101,1562,1,Player object (759),buy,2023-03-06 02:03:31.833061+00:00,"{""priceA"": 130, ""sharesA"": 1, ""secs_since_round_starts"": 50, ""market"": ""A""}",60.0,9.0,2.0,mbj7g6v1,vmu7c279,FULL STUDY,190.0
102,1564,1,Player object (759),GAME_ENDS,2023-03-06 02:03:35.570372+00:00,"{""priceA"": 130, ""sharesA"": 1, ""secs_since_round_starts"": 54}",60.0,10.0,2.0,mbj7g6v1,vmu7c279,FULL STUDY,190.0
103,1651,1,Player object (766),GAME_STARTS,2023-03-07 04:04:39.680771+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,7eu86eyg,vmu7c279,FULL STUDY,170.0
104,1652,1,Player object (766),sell,2023-03-07 04:04:57.559270+00:00,"{""priceA"": 120, ""sharesA"": 0, ""secs_since_round_starts"": 18, ""market"": ""A""}",170.0,3.0,1.0,7eu86eyg,vmu7c279,FULL STUDY,170.0
105,1653,1,Player object (766),GAME_ENDS,2023-03-07 04:05:34.166767+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",170.0,10.0,1.0,7eu86eyg,vmu7c279,FULL STUDY,170.0
106,1688,1,Player object (764),GAME_STARTS,2023-03-07 04:19:55.508465+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,y0d7uk3z,vmu7c279,FULL STUDY,190.0
107,1691,1,Player object (764),sell,2023-03-07 04:20:41.754217+00:00,"{""priceA"": 140, ""sharesA"": 0, ""secs_since_round_starts"": 46, ""market"": ""A""}",190.0,8.0,1.0,y0d7uk3z,vmu7c279,FULL STUDY,190.0
108,1692,1,Player object (764),GAME_ENDS,2023-03-07 04:20:50.062607+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 54}",190.0,10.0,1.0,y0d7uk3z,vmu7c279,FULL STUDY,190.0
109,1767,1,Player object (768),GAME_STARTS,2023-03-07 15:00:44.957732+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,p4esvzkg,vmu7c279,FULL STUDY,180.0
110,1768,1,Player object (768),sell,2023-03-07 15:01:14.733395+00:00,"{""priceA"": 130, ""sharesA"": 0, ""secs_since_round_starts"": 29, ""market"": ""A""}",180.0,5.0,1.0,p4esvzkg,vmu7c279,FULL STUDY,180.0
111,1826,1,Player object (772),GAME_STARTS,2023-03-07 18:32:21.492304+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 1}",50.0,,,bi5jp617,vmu7c279,FULL STUDY,180.0
112,1899,1,Player object (774),GAME_STARTS,2023-03-07 20:56:00.157560+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,pg5m7phh,vmu7c279,FULL STUDY,190.0
113,1900,1,Player object (774),GAME_ENDS,2023-03-07 20:56:54.706937+00:00,"{""priceA"": 140, ""sharesA"": 1, ""secs_since_round_starts"": 54}",50.0,10.0,,pg5m7phh,vmu7c279,FULL STUDY,190.0
114,1934,1,Player object (777),GAME_STARTS,2023-03-08 01:37:46.717460+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,wrahuh7u,vmu7c279,FULL STUDY,180.0
